,o2,pasos,fcard,ano_fcad,ano_o2
0,69.54736842105264,48.665789473684214,37.386842105263156,1,-1
1,69.54736842105264,48.665789473684214,37.386842105263156,1,-1
2,69.54736842105264,48.665789473684214,37.386842105263156,1,-1
3,69.54736842105264,22.0,37.386842105263156,1,-1
4,69.54736842105264,48.665789473684214,31.0,1,-1
5,69.54736842105264,48.665789473684214,31.0,1,-1
6,69.54736842105264,48.665789473684214,30.0,1,-1
7,69.54736842105264,48.665789473684214,30.0,1,-1
8,69.54736842105264,48.665789473684214,30.0,1,-1
9,69.54736842105264,48.665789473684214,30.0,1,-1
10,69.54736842105264,48.665789473684214,30.0,1,-1
11,69.54736842105264,48.665789473684214,30.0,1,-1
12,69.54736842105264,48.665789473684214,30.0,1,-1
13,69.54736842105264,48.665789473684214,30.0,1,-1
14,69.54736842105264,48.665789473684214,30.0,1,-1
15,69.54736842105264,48.665789473684214,30.0,1,-1
16,69.54736842105264,48.665789473684214,30.0,1,-1
17,69.54736842105264,48.665789473684214,10.0,-1,-1
18,69.54736842105264,48.665789473684214,10.0,-1,-1
19,69.54736842105264,48.665789473684214,10.0,-1,-1
20,69.54736842105264,48.665789473684214,10.0,-1,-1
21,69.54736842105264,48.665789473684214,10.0,-1,-1
22,69.54736842105264,48.665789473684214,10.0,-1,-1
23,69.54736842105264,48.665789473684214,10.0,-1,-1
24,69.54736842105264,48.665789473684214,10.0,-1,-1
25,69.54736842105264,48.665789473684214,10.0,-1,-1
26,69.54736842105264,48.665789473684214,10.0,-1,-1
27,69.54736842105264,48.665789473684214,31.0,1,-1
28,69.54736842105264,48.665789473684214,31.0,1,-1
29,69.54736842105264,48.665789473684214,31.0,1,-1
30,69.54736842105264,48.665789473684214,37.386842105263156,1,-1
31,69.54736842105264,48.665789473684214,37.386842105263156,1,-1
32,69.54736842105264,48.665789473684214,37.386842105263156,1,-1
33,69.54736842105264,48.665789473684214,37.386842105263156,1,-1
34,69.54736842105264,48.665789473684214,37.386842105263156,1,-1
35,69.54736842105264,48.665789473684214,37.386842105263156,1,-1
36,69.54736842105264,48.665789473684214,37.386842105263156,1,-1
37,69.54736842105264,48.665789473684214,37.386842105263156,1,-1
38,69.54736842105264,48.665789473684214,37.386842105263156,1,-1
39,69.54736842105264,48.665789473684214,63.0,1,-1
40,69.54736842105264,48.665789473684214,63.0,1,-1
41,69.54736842105264,48.665789473684214,63.0,1,-1
42,69.54736842105264,48.665789473684214,19.0,1,-1
43,69.54736842105264,48.665789473684214,19.0,1,-1
44,69.54736842105264,48.665789473684214,19.0,1,-1
45,69.54736842105264,48.665789473684214,19.0,1,-1
46,69.54736842105264,48.665789473684214,19.0,1,-1
47,69.54736842105264,48.665789473684214,19.0,1,-1
48,69.54736842105264,48.665789473684214,19.0,1,-1
49,69.54736842105264,48.665789473684214,19.0,1,-1
50,69.54736842105264,48.665789473684214,19.0,1,-1
51,69.54736842105264,48.665789473684214,19.0,1,-1
52,69.54736842105264,48.665789473684214,8.0,-1,-1
53,69.54736842105264,48.665789473684214,8.0,-1,-1
54,69.54736842105264,48.665789473684214,8.0,-1,-1
55,69.54736842105264,48.665789473684214,8.0,-1,-1
56,69.54736842105264,48.665789473684214,8.0,-1,-1
57,69.54736842105264,48.665789473684214,8.0,-1,-1
58,69.54736842105264,48.665789473684214,37.386842105263156,1,-1
59,69.54736842105264,48.665789473684214,37.386842105263156,1,-1
60,69.54736842105264,48.665789473684214,37.386842105263156,1,-1
61,69.54736842105264,48.665789473684214,37.386842105263156,1,-1
62,69.54736842105264,48.665789473684214,37.386842105263156,1,-1
63,69.54736842105264,48.665789473684214,37.386842105263156,1,-1
64,69.54736842105264,48.665789473684214,37.386842105263156,1,-1
65,69.54736842105264,48.665789473684214,37.386842105263156,1,-1
66,69.54736842105264,48.665789473684214,37.386842105263156,1,-1
67,69.54736842105264,48.665789473684214,37.386842105263156,1,-1
68,69.54736842105264,48.665789473684214,37.386842105263156,1,-1
69,69.54736842105264,48.665789473684214,37.386842105263156,1,-1
70,69.54736842105264,48.665789473684214,37.386842105263156,1,-1
71,69.54736842105264,48.665789473684214,37.386842105263156,1,-1
72,69.54736842105264,48.665789473684214,37.386842105263156,1,-1
73,69.54736842105264,48.665789473684214,37.386842105263156,1,-1
74,69.54736842105264,48.665789473684214,37.386842105263156,1,-1
75,69.54736842105264,48.665789473684214,63.0,1,-1
76,69.54736842105264,48.665789473684214,51.0,1,-1
77,69.54736842105264,48.665789473684214,58.0,1,-1
78,69.54736842105264,48.665789473684214,51.0,1,-1
79,69.54736842105264,48.665789473684214,55.0,1,-1
80,95.0,48.665789473684214,55.0,1,1
81,95.0,48.665789473684214,51.0,1,1
82,95.0,48.665789473684214,51.0,1,1
83,95.0,48.665789473684214,51.0,1,1
84,95.0,48.665789473684214,73.0,1,1
85,95.0,48.665789473684214,73.0,1,1
86,95.0,48.665789473684214,73.0,1,1
87,95.0,48.665789473684214,73.0,1,1
88,69.54736842105264,48.665789473684214,37.386842105263156,1,-1
89,69.54736842105264,48.665789473684214,37.386842105263156,1,-1
90,69.54736842105264,48.665789473684214,37.386842105263156,1,-1
91,69.54736842105264,48.665789473684214,22.0,1,-1
92,69.54736842105264,48.665789473684214,22.0,1,-1
93,69.54736842105264,48.665789473684214,22.0,1,-1
94,69.54736842105264,48.665789473684214,22.0,1,-1
95,69.54736842105264,48.665789473684214,22.0,1,-1
96,69.54736842105264,48.665789473684214,22.0,1,-1
97,69.54736842105264,48.665789473684214,22.0,1,-1
98,69.54736842105264,48.665789473684214,22.0,1,-1
99,69.54736842105264,48.665789473684214,17.0,1,-1
100,69.54736842105264,48.665789473684214,17.0,1,-1
101,69.54736842105264,48.665789473684214,17.0,1,-1
102,69.54736842105264,48.665789473684214,17.0,1,-1
103,69.54736842105264,48.665789473684214,17.0,1,-1
104,69.54736842105264,48.665789473684214,17.0,1,-1
105,69.54736842105264,48.665789473684214,17.0,1,-1
106,69.54736842105264,48.665789473684214,17.0,1,-1
107,69.54736842105264,1.0,17.0,1,-1
108,69.54736842105264,1.0,63.0,1,-1
109,99.0,2.0,87.0,-1,1
110,95.0,3.0,48.0,-1,1
111,95.0,4.0,48.0,-1,1
112,95.0,4.0,42.0,1,1
113,95.0,4.0,35.0,1,1
114,95.0,5.0,35.0,1,1
115,95.0,6.0,35.0,1,1
116,95.0,7.0,31.0,1,1
117,95.0,8.0,45.0,1,1
118,95.0,9.0,45.0,1,1
119,95.0,10.0,45.0,1,1
120,95.0,11.0,45.0,1,1
121,95.0,11.0,48.0,-1,1
122,95.0,12.0,48.0,-1,1
123,95.0,12.0,48.0,-1,1
124,95.0,12.0,48.0,-1,1
125,95.0,12.0,48.0,-1,1
126,95.0,13.0,48.0,-1,1
127,95.0,14.0,11.0,-1,1
128,95.0,15.0,11.0,-1,1
129,95.0,16.0,68.0,1,1
130,95.0,16.0,40.0,1,1
131,95.0,16.0,11.0,-1,1
132,95.0,17.0,51.0,1,1
133,95.0,18.0,37.386842105263156,1,1
134,95.0,18.0,37.0,1,1
135,95.0,18.0,37.0,1,1
136,95.0,19.0,73.0,1,1
137,95.0,19.0,73.0,1,1
138,95.0,20.0,7.0,-1,1
139,95.0,21.0,7.0,-1,1
140,95.0,22.0,7.0,-1,1
141,95.0,22.0,95.0,-1,1
142,95.0,23.0,95.0,-1,1
143,95.0,24.0,63.0,1,1
144,95.0,24.0,28.0,1,1
145,95.0,25.0,73.0,1,1
146,95.0,26.0,63.0,1,1
147,95.0,26.0,63.0,1,1
148,95.0,27.0,87.0,-1,1
149,95.0,28.0,87.0,-1,1
150,95.0,29.0,80.0,-1,1
151,95.0,29.0,80.0,-1,1
152,95.0,30.0,80.0,-1,1
153,95.0,31.0,24.0,1,1
154,95.0,32.0,24.0,1,1
155,95.0,32.0,24.0,1,1
156,95.0,33.0,58.0,1,1
157,95.0,34.0,28.0,1,1
158,95.0,34.0,37.0,1,1
159,95.0,35.0,37.0,1,1
160,95.0,36.0,37.0,1,1
161,95.0,37.0,95.0,-1,1
162,95.0,38.0,95.0,-1,1
163,95.0,39.0,95.0,-1,1
164,95.0,40.0,95.0,-1,1
165,95.0,41.0,95.0,-1,1
166,95.0,42.0,48.0,-1,1
167,95.0,43.0,26.0,1,1
168,95.0,44.0,26.0,1,1
169,95.0,45.0,63.0,1,1
170,95.0,46.0,42.0,1,1
171,95.0,47.0,42.0,1,1
172,95.0,48.0,25.0,1,1
173,95.0,49.0,51.0,1,1
174,95.0,50.0,51.0,1,1
175,95.0,51.0,63.0,1,1
176,95.0,52.0,37.0,1,1
177,95.0,53.0,37.386842105263156,1,1
178,95.0,54.0,30.0,1,1
179,95.0,55.0,30.0,1,1
180,95.0,56.0,30.0,1,1
181,95.0,57.0,95.0,-1,1
182,95.0,57.0,95.0,-1,1
183,95.0,58.0,55.0,1,1
184,95.0,59.0,42.0,1,1
185,95.0,60.0,37.386842105263156,1,1
186,95.0,61.0,37.386842105263156,1,1
187,95.0,62.0,40.0,1,1
188,95.0,63.0,40.0,1,1
189,95.0,64.0,40.0,1,1
190,95.0,65.0,40.0,1,1
191,95.0,66.0,40.0,1,1
192,95.0,67.0,40.0,1,1
193,95.0,68.0,40.0,1,1
194,95.0,69.0,17.0,1,1
195,95.0,70.0,17.0,1,1
196,95.0,71.0,17.0,1,1
197,95.0,72.0,17.0,1,1
198,95.0,73.0,17.0,1,1
199,95.0,74.0,17.0,1,1
200,95.0,75.0,17.0,1,1
201,95.0,75.0,17.0,1,1
202,95.0,75.0,17.0,1,1
203,95.0,75.0,17.0,1,1
204,95.0,75.0,28.0,1,1
205,95.0,75.0,28.0,1,1
206,95.0,75.0,48.0,-1,1
207,95.0,75.0,48.0,-1,1
208,95.0,75.0,48.0,-1,1
209,95.0,75.0,48.0,-1,1
210,95.0,75.0,48.0,-1,1
211,95.0,75.0,48.0,-1,1
212,95.0,75.0,48.0,-1,1
213,95.0,75.0,48.0,-1,1
214,95.0,75.0,48.0,-1,1
215,95.0,76.0,45.0,1,1
216,95.0,76.0,55.0,1,1
217,95.0,76.0,55.0,1,1
218,95.0,76.0,55.0,1,1
219,95.0,76.0,55.0,1,1
220,95.0,76.0,55.0,1,1
221,95.0,76.0,55.0,1,1
222,95.0,76.0,31.0,1,1
223,95.0,76.0,37.386842105263156,1,1
224,95.0,77.0,37.386842105263156,1,1
225,95.0,78.0,37.386842105263156,1,1
226,95.0,78.0,37.386842105263156,1,1
227,95.0,78.0,48.0,-1,1
228,95.0,78.0,68.0,1,1
229,95.0,78.0,68.0,1,1
230,95.0,78.0,68.0,1,1
231,95.0,78.0,25.0,1,1
232,95.0,78.0,25.0,1,1
233,95.0,78.0,55.0,1,1
234,95.0,78.0,42.0,1,1
235,95.0,78.0,87.0,-1,1
236,95.0,78.0,48.0,-1,1
237,95.0,78.0,48.0,-1,1
238,95.0,78.0,48.0,-1,1
239,95.0,79.0,45.0,1,1
240,95.0,80.0,58.0,1,1
241,95.0,80.0,13.0,-1,1
242,95.0,80.0,13.0,-1,1
243,95.0,80.0,37.0,1,1
244,95.0,80.0,37.0,1,1
245,95.0,80.0,4.0,-1,1
246,95.0,80.0,4.0,-1,1
247,95.0,80.0,4.0,-1,1
248,95.0,80.0,80.0,-1,1
249,95.0,80.0,58.0,1,1
250,95.0,80.0,58.0,1,1
251,95.0,80.0,58.0,1,1
252,95.0,80.0,58.0,1,1
253,95.0,80.0,19.0,1,1
254,95.0,80.0,19.0,1,1
255,95.0,80.0,16.0,1,1
256,95.0,80.0,40.0,1,1
257,95.0,80.0,40.0,1,1
258,95.0,80.0,40.0,1,1
259,95.0,81.0,68.0,1,1
260,95.0,81.0,68.0,1,1
261,95.0,81.0,31.0,1,1
262,95.0,82.0,15.0,-1,1
263,95.0,82.0,15.0,-1,1
264,95.0,82.0,15.0,-1,1
265,95.0,82.0,15.0,-1,1
266,95.0,82.0,20.0,1,1
267,95.0,82.0,20.0,1,1
268,95.0,82.0,48.0,-1,1
269,95.0,82.0,48.0,-1,1
270,95.0,82.0,48.0,-1,1
271,95.0,82.0,48.0,-1,1
272,95.0,82.0,51.0,1,1
273,95.0,82.0,37.386842105263156,1,1
274,95.0,82.0,13.0,-1,1
275,95.0,82.0,13.0,-1,1
276,95.0,82.0,95.0,-1,1
277,95.0,82.0,42.0,1,1
278,95.0,82.0,51.0,1,1
279,95.0,82.0,51.0,1,1
280,95.0,82.0,51.0,1,1
281,95.0,82.0,63.0,1,1
282,95.0,82.0,87.0,-1,1
283,95.0,82.0,87.0,-1,1
284,95.0,82.0,87.0,-1,1
285,95.0,83.0,87.0,-1,1
286,95.0,83.0,87.0,-1,1
287,95.0,83.0,73.0,1,1
288,95.0,83.0,31.0,1,1
289,95.0,83.0,31.0,1,1
290,95.0,83.0,31.0,1,1
291,95.0,83.0,31.0,1,1
292,95.0,83.0,45.0,1,1
293,95.0,83.0,45.0,1,1
294,95.0,83.0,45.0,1,1
295,95.0,83.0,45.0,1,1
296,95.0,83.0,55.0,1,1
297,95.0,83.0,33.0,1,1
298,95.0,83.0,33.0,1,1
299,95.0,83.0,33.0,1,1
300,95.0,83.0,63.0,1,1
301,95.0,84.0,45.0,1,1
302,95.0,84.0,58.0,1,1
303,95.0,84.0,58.0,1,1
304,95.0,84.0,80.0,-1,1
305,95.0,84.0,80.0,-1,1
306,95.0,84.0,80.0,-1,1
307,95.0,84.0,80.0,-1,1
308,95.0,85.0,80.0,-1,1
309,95.0,85.0,87.0,-1,1
310,95.0,86.0,73.0,1,1
311,95.0,87.0,73.0,1,1
312,95.0,88.0,73.0,1,1
313,95.0,88.0,73.0,1,1
314,95.0,88.0,73.0,1,1
315,95.0,88.0,42.0,1,1
316,95.0,88.0,42.0,1,1
317,95.0,88.0,42.0,1,1
318,95.0,88.0,37.0,1,1
319,95.0,88.0,26.0,1,1
320,95.0,89.0,26.0,1,1
321,95.0,90.0,15.0,-1,1
322,95.0,91.0,48.0,-1,1
323,95.0,91.0,48.0,-1,1
324,95.0,91.0,48.0,-1,1
325,95.0,91.0,48.0,-1,1
326,95.0,91.0,48.0,-1,1
327,95.0,91.0,48.0,-1,1
328,95.0,91.0,48.0,-1,1
329,95.0,91.0,48.0,-1,1
330,95.0,91.0,48.0,-1,1
331,95.0,91.0,31.0,1,1
332,95.0,91.0,31.0,1,1
333,95.0,91.0,31.0,1,1
334,95.0,91.0,31.0,1,1
335,95.0,91.0,40.0,1,1
336,95.0,91.0,87.0,-1,1
337,95.0,91.0,73.0,1,1
338,95.0,91.0,48.0,-1,1
339,95.0,91.0,48.0,-1,1
340,95.0,91.0,12.0,-1,1
341,95.0,91.0,12.0,-1,1
342,95.0,91.0,12.0,-1,1
343,95.0,92.0,12.0,-1,1
344,95.0,92.0,12.0,-1,1
345,95.0,93.0,55.0,1,1
346,95.0,93.0,55.0,1,1
347,95.0,93.0,33.0,1,1
348,95.0,93.0,87.0,-1,1
349,95.0,93.0,55.0,1,1
350,95.0,93.0,37.386842105263156,1,1
351,95.0,94.0,37.386842105263156,1,1
352,95.0,94.0,73.0,1,1
353,95.0,94.0,63.0,1,1
354,95.0,95.0,3.0,-1,1
355,95.0,95.0,3.0,-1,1
356,95.0,95.0,87.0,-1,1
357,95.0,95.0,55.0,1,1
358,95.0,95.0,58.0,1,1
359,95.0,95.0,58.0,1,1
360,95.0,96.0,14.0,-1,1
361,95.0,97.0,14.0,-1,1
362,95.0,97.0,80.0,-1,1
363,95.0,97.0,45.0,1,1
364,95.0,98.0,45.0,1,1
365,95.0,98.0,45.0,1,1
366,95.0,98.0,45.0,1,1
367,95.0,98.0,45.0,1,1
368,95.0,98.0,45.0,1,1
369,95.0,99.0,45.0,1,1
370,95.0,100.0,45.0,1,1
371,95.0,100.0,45.0,1,1
372,95.0,100.0,45.0,1,1
373,95.0,100.0,45.0,1,1
374,95.0,100.0,55.0,1,1
375,42.0,100.0,55.0,1,-1
376,88.0,100.0,37.386842105263156,1,-1
377,88.0,100.0,68.0,1,-1
378,88.0,100.0,40.0,1,-1
379,88.0,100.0,40.0,1,-1
